freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	6.223E-02	1.068E+00	
7.943E+02	6.221E-02	8.480E-01	
6.310E+02	6.255E-02	6.731E-01	
5.012E+02	6.287E-02	5.343E-01	
3.981E+02	6.308E-02	4.240E-01	
3.162E+02	6.336E-02	3.364E-01	
2.512E+02	6.366E-02	2.667E-01	
1.995E+02	6.398E-02	2.114E-01	
1.585E+02	6.427E-02	1.675E-01	
1.259E+02	6.461E-02	1.326E-01	
1.000E+02	6.493E-02	1.049E-01	
7.943E+01	6.533E-02	8.330E-02	
6.310E+01	6.564E-02	6.572E-02	
5.200E+01	6.589E-02	5.380E-02	
3.981E+01	6.619E-02	4.067E-02	
3.162E+01	6.653E-02	3.184E-02	
2.512E+01	6.679E-02	2.484E-02	
1.995E+01	6.710E-02	1.921E-02	
1.585E+01	6.741E-02	1.483E-02	
1.259E+01	6.773E-02	1.120E-02	
1.000E+01	6.799E-02	8.338E-03	
7.943E+00	6.838E-02	5.994E-03	
6.310E+00	6.863E-02	4.218E-03	
5.012E+00	6.911E-02	2.686E-03	
3.981E+00	6.957E-02	1.529E-03	
3.162E+00	6.989E-02	6.472E-04	
2.512E+00	7.021E-02	-1.003E-04	
1.995E+00	7.064E-02	-9.479E-04	
1.585E+00	7.117E-02	-1.452E-03	
1.259E+00	7.152E-02	-2.040E-03	
1.000E+00	7.183E-02	-2.467E-03	
7.943E-01	7.219E-02	-2.963E-03	
6.310E-01	7.269E-02	-3.434E-03	
5.012E-01	7.316E-02	-3.638E-03	
3.981E-01	7.374E-02	-4.146E-03	
3.162E-01	7.402E-02	-4.760E-03	
2.512E-01	7.455E-02	-5.873E-03	
1.995E-01	7.527E-02	-6.678E-03	
1.585E-01	7.551E-02	-7.506E-03	
1.259E-01	7.635E-02	-9.152E-03	
1.000E-01	7.675E-02	-1.022E-02	
7.943E-02	7.780E-02	-1.236E-02	
6.310E-02	7.775E-02	-1.457E-02	
5.012E-02	7.903E-02	-1.679E-02	
3.981E-02	8.048E-02	-2.093E-02	
3.162E-02	7.998E-02	-2.452E-02	
2.512E-02	8.179E-02	-2.888E-02	
1.995E-02	8.418E-02	-3.485E-02	
1.585E-02	8.677E-02	-4.344E-02	
1.259E-02	1.015E-01	-5.471E-02	
1.000E-02	1.014E-01	-6.641E-02	
