freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	5.635E-02	1.068E+00	
7.943E+02	5.655E-02	8.481E-01	
6.310E+02	5.675E-02	6.733E-01	
5.012E+02	5.700E-02	5.345E-01	
3.981E+02	5.726E-02	4.242E-01	
3.162E+02	5.751E-02	3.366E-01	
2.512E+02	5.776E-02	2.670E-01	
1.995E+02	5.801E-02	2.117E-01	
1.585E+02	5.830E-02	1.678E-01	
1.259E+02	5.855E-02	1.330E-01	
1.000E+02	5.881E-02	1.053E-01	
7.943E+01	5.915E-02	8.373E-02	
6.310E+01	5.938E-02	6.619E-02	
5.200E+01	5.959E-02	5.429E-02	
3.981E+01	5.985E-02	4.125E-02	
3.162E+01	6.007E-02	3.246E-02	
2.512E+01	6.033E-02	2.553E-02	
1.995E+01	6.057E-02	2.003E-02	
1.585E+01	6.075E-02	1.566E-02	
1.259E+01	6.098E-02	1.224E-02	
1.000E+01	6.116E-02	9.537E-03	
7.943E+00	6.135E-02	7.347E-03	
6.310E+00	6.151E-02	5.720E-03	
5.012E+00	6.161E-02	4.400E-03	
3.981E+00	6.170E-02	3.411E-03	
3.162E+00	6.182E-02	2.569E-03	
2.512E+00	6.190E-02	1.943E-03	
1.995E+00	6.205E-02	1.224E-03	
1.585E+00	6.206E-02	8.156E-04	
1.259E+00	6.215E-02	4.966E-04	
1.000E+00	6.216E-02	1.530E-04	
7.943E-01	6.226E-02	-7.615E-05	
6.310E-01	6.243E-02	-3.978E-04	
5.012E-01	6.251E-02	-3.775E-04	
3.981E-01	6.274E-02	-6.735E-04	
3.162E-01	6.279E-02	-9.904E-04	
2.512E-01	6.293E-02	-1.363E-03	
1.995E-01	6.314E-02	-1.575E-03	
1.585E-01	6.335E-02	-2.027E-03	
1.259E-01	6.354E-02	-2.406E-03	
1.000E-01	6.383E-02	-2.695E-03	
7.943E-02	6.406E-02	-3.147E-03	
6.310E-02	6.437E-02	-3.639E-03	
5.012E-02	6.490E-02	-4.380E-03	
3.981E-02	6.518E-02	-4.996E-03	
3.162E-02	6.581E-02	-5.938E-03	
2.512E-02	6.642E-02	-6.757E-03	
1.995E-02	6.718E-02	-7.939E-03	
1.585E-02	6.800E-02	-9.293E-03	
1.259E-02	6.910E-02	-1.046E-02	
1.000E-02	7.066E-02	-1.204E-02	
