freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	6.230E-02	1.068E+00	
7.943E+02	6.250E-02	8.482E-01	
6.310E+02	6.266E-02	6.734E-01	
5.012E+02	6.290E-02	5.345E-01	
3.981E+02	6.315E-02	4.242E-01	
3.162E+02	6.340E-02	3.367E-01	
2.512E+02	6.364E-02	2.671E-01	
1.995E+02	6.388E-02	2.118E-01	
1.585E+02	6.414E-02	1.679E-01	
1.259E+02	6.440E-02	1.330E-01	
1.000E+02	6.464E-02	1.053E-01	
7.943E+01	6.496E-02	8.376E-02	
6.310E+01	6.519E-02	6.624E-02	
5.200E+01	6.540E-02	5.432E-02	
3.981E+01	6.567E-02	4.127E-02	
3.162E+01	6.592E-02	3.252E-02	
2.512E+01	6.614E-02	2.558E-02	
1.995E+01	6.633E-02	2.012E-02	
1.585E+01	6.658E-02	1.580E-02	
1.259E+01	6.677E-02	1.245E-02	
1.000E+01	6.692E-02	9.760E-03	
7.943E+00	6.697E-02	7.592E-03	
6.310E+00	6.713E-02	5.974E-03	
5.012E+00	6.723E-02	4.654E-03	
3.981E+00	6.738E-02	3.681E-03	
3.162E+00	6.735E-02	2.803E-03	
2.512E+00	6.738E-02	2.049E-03	
1.995E+00	6.732E-02	1.592E-03	
1.585E+00	6.749E-02	1.129E-03	
1.259E+00	6.749E-02	6.863E-04	
1.000E+00	6.763E-02	3.536E-04	
7.943E-01	6.767E-02	3.568E-05	
6.310E-01	6.778E-02	-2.275E-04	
5.012E-01	6.781E-02	-2.857E-05	
3.981E-01	6.803E-02	-3.185E-04	
3.162E-01	6.794E-02	-7.202E-04	
2.512E-01	6.806E-02	-1.057E-03	
1.995E-01	6.821E-02	-1.250E-03	
1.585E-01	6.839E-02	-1.572E-03	
1.259E-01	6.851E-02	-1.927E-03	
1.000E-01	6.881E-02	-2.237E-03	
7.943E-02	6.895E-02	-2.658E-03	
6.310E-02	6.926E-02	-3.112E-03	
5.012E-02	6.958E-02	-3.516E-03	
3.981E-02	7.003E-02	-4.082E-03	
3.162E-02	7.046E-02	-4.803E-03	
2.512E-02	7.108E-02	-5.475E-03	
1.995E-02	7.193E-02	-6.457E-03	
1.585E-02	7.269E-02	-7.517E-03	
1.259E-02	7.376E-02	-8.361E-03	
1.000E-02	7.520E-02	-9.536E-03	
