freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	5.593E-02	1.069E+00	
7.943E+02	5.608E-02	8.486E-01	
6.310E+02	5.620E-02	6.739E-01	
5.012E+02	5.638E-02	5.351E-01	
3.981E+02	5.655E-02	4.248E-01	
3.162E+02	5.670E-02	3.373E-01	
2.512E+02	5.687E-02	2.677E-01	
1.995E+02	5.703E-02	2.125E-01	
1.585E+02	5.720E-02	1.686E-01	
1.259E+02	5.736E-02	1.338E-01	
1.000E+02	5.752E-02	1.062E-01	
7.943E+01	5.772E-02	8.458E-02	
6.310E+01	5.782E-02	6.711E-02	
5.200E+01	5.787E-02	5.524E-02	
3.981E+01	5.796E-02	4.222E-02	
3.162E+01	5.802E-02	3.347E-02	
2.512E+01	5.806E-02	2.657E-02	
1.995E+01	5.809E-02	2.105E-02	
1.585E+01	5.812E-02	1.669E-02	
1.259E+01	5.815E-02	1.320E-02	
1.000E+01	5.822E-02	1.041E-02	
7.943E+00	5.822E-02	8.214E-03	
6.310E+00	5.820E-02	6.423E-03	
5.012E+00	5.831E-02	5.122E-03	
3.981E+00	5.838E-02	3.916E-03	
3.162E+00	5.837E-02	3.052E-03	
2.512E+00	5.841E-02	2.243E-03	
1.995E+00	5.842E-02	1.653E-03	
1.585E+00	5.840E-02	1.216E-03	
1.259E+00	5.855E-02	6.422E-04	
1.000E+00	5.853E-02	3.978E-04	
7.943E-01	5.864E-02	8.361E-05	
6.310E-01	5.877E-02	-2.198E-04	
5.012E-01	5.892E-02	-1.544E-04	
3.981E-01	5.904E-02	-4.968E-04	
3.162E-01	5.912E-02	-7.873E-04	
2.512E-01	5.927E-02	-1.085E-03	
1.995E-01	5.957E-02	-1.312E-03	
1.585E-01	5.968E-02	-1.626E-03	
1.259E-01	5.991E-02	-1.933E-03	
1.000E-01	6.012E-02	-2.216E-03	
7.943E-02	6.043E-02	-2.574E-03	
6.310E-02	6.060E-02	-2.951E-03	
5.012E-02	6.100E-02	-3.396E-03	
3.981E-02	6.139E-02	-3.871E-03	
3.162E-02	6.185E-02	-4.589E-03	
2.512E-02	6.225E-02	-5.388E-03	
1.995E-02	6.281E-02	-6.132E-03	
1.585E-02	6.375E-02	-6.987E-03	
1.259E-02	6.466E-02	-7.997E-03	
1.000E-02	6.589E-02	-8.928E-03	
