freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	5.056E-02	1.069E+00	
7.943E+02	5.075E-02	8.484E-01	
6.310E+02	5.091E-02	6.736E-01	
5.012E+02	5.113E-02	5.348E-01	
3.981E+02	5.135E-02	4.245E-01	
3.162E+02	5.157E-02	3.370E-01	
2.512E+02	5.179E-02	2.674E-01	
1.995E+02	5.204E-02	2.121E-01	
1.585E+02	5.224E-02	1.683E-01	
1.259E+02	5.245E-02	1.335E-01	
1.000E+02	5.263E-02	1.058E-01	
7.943E+01	5.292E-02	8.423E-02	
6.310E+01	5.304E-02	6.678E-02	
5.200E+01	5.314E-02	5.494E-02	
3.981E+01	5.331E-02	4.196E-02	
3.162E+01	5.340E-02	3.326E-02	
2.512E+01	5.353E-02	2.634E-02	
1.995E+01	5.352E-02	2.085E-02	
1.585E+01	5.362E-02	1.652E-02	
1.259E+01	5.369E-02	1.309E-02	
1.000E+01	5.370E-02	1.034E-02	
7.943E+00	5.375E-02	8.150E-03	
6.310E+00	5.378E-02	6.438E-03	
5.012E+00	5.375E-02	4.962E-03	
3.981E+00	5.380E-02	3.877E-03	
3.162E+00	5.381E-02	2.945E-03	
2.512E+00	5.382E-02	2.218E-03	
1.995E+00	5.397E-02	1.733E-03	
1.585E+00	5.398E-02	1.203E-03	
1.259E+00	5.400E-02	9.030E-04	
1.000E+00	5.403E-02	4.186E-04	
7.943E-01	5.407E-02	1.033E-04	
6.310E-01	5.422E-02	-2.106E-04	
5.012E-01	5.431E-02	-4.670E-05	
3.981E-01	5.436E-02	-4.073E-04	
3.162E-01	5.452E-02	-7.172E-04	
2.512E-01	5.472E-02	-9.184E-04	
1.995E-01	5.484E-02	-1.253E-03	
1.585E-01	5.504E-02	-1.527E-03	
1.259E-01	5.525E-02	-1.867E-03	
1.000E-01	5.547E-02	-2.127E-03	
7.943E-02	5.564E-02	-2.444E-03	
6.310E-02	5.595E-02	-2.809E-03	
5.012E-02	5.627E-02	-3.240E-03	
3.981E-02	5.658E-02	-3.769E-03	
3.162E-02	5.694E-02	-4.447E-03	
2.512E-02	5.738E-02	-5.067E-03	
1.995E-02	5.815E-02	-5.955E-03	
1.585E-02	5.867E-02	-6.952E-03	
1.259E-02	5.961E-02	-7.761E-03	
1.000E-02	6.074E-02	-8.894E-03	
