freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	5.064E-02	1.069E+00	
7.943E+02	5.075E-02	8.486E-01	
6.310E+02	5.086E-02	6.739E-01	
5.012E+02	5.103E-02	5.351E-01	
3.981E+02	5.118E-02	4.248E-01	
3.162E+02	5.133E-02	3.373E-01	
2.512E+02	5.150E-02	2.677E-01	
1.995E+02	5.165E-02	2.125E-01	
1.585E+02	5.180E-02	1.686E-01	
1.259E+02	5.198E-02	1.338E-01	
1.000E+02	5.209E-02	1.061E-01	
7.943E+01	5.232E-02	8.453E-02	
6.310E+01	5.241E-02	6.702E-02	
5.200E+01	5.250E-02	5.520E-02	
3.981E+01	5.261E-02	4.215E-02	
3.162E+01	5.268E-02	3.341E-02	
2.512E+01	5.274E-02	2.651E-02	
1.995E+01	5.279E-02	2.100E-02	
1.585E+01	5.281E-02	1.662E-02	
1.259E+01	5.285E-02	1.314E-02	
1.000E+01	5.288E-02	1.041E-02	
7.943E+00	5.289E-02	8.214E-03	
6.310E+00	5.296E-02	6.488E-03	
5.012E+00	5.296E-02	5.052E-03	
3.981E+00	5.296E-02	3.861E-03	
3.162E+00	5.298E-02	3.000E-03	
2.512E+00	5.308E-02	2.279E-03	
1.995E+00	5.311E-02	1.668E-03	
1.585E+00	5.314E-02	1.179E-03	
1.259E+00	5.324E-02	7.894E-04	
1.000E+00	5.321E-02	3.815E-04	
7.943E-01	5.335E-02	1.164E-04	
6.310E-01	5.340E-02	-1.156E-04	
5.012E-01	5.361E-02	-3.319E-04	
3.981E-01	5.370E-02	-4.516E-04	
3.162E-01	5.384E-02	-7.259E-04	
2.512E-01	5.401E-02	-1.071E-03	
1.995E-01	5.413E-02	-1.302E-03	
1.585E-01	5.435E-02	-1.459E-03	
1.259E-01	5.455E-02	-1.776E-03	
1.000E-01	5.479E-02	-2.122E-03	
7.943E-02	5.497E-02	-2.352E-03	
6.310E-02	5.512E-02	-2.798E-03	
5.012E-02	5.551E-02	-3.148E-03	
3.981E-02	5.578E-02	-3.637E-03	
3.162E-02	5.621E-02	-4.300E-03	
2.512E-02	5.674E-02	-4.848E-03	
1.995E-02	5.741E-02	-5.768E-03	
1.585E-02	5.802E-02	-6.617E-03	
1.259E-02	5.888E-02	-7.332E-03	
1.000E-02	6.004E-02	-8.288E-03	
