freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.001E-02	1.069E+00	
7.943E+02	4.019E-02	8.484E-01	
6.310E+02	4.038E-02	6.736E-01	
5.012E+02	4.060E-02	5.348E-01	
3.981E+02	4.082E-02	4.245E-01	
3.162E+02	4.104E-02	3.369E-01	
2.512E+02	4.125E-02	2.674E-01	
1.995E+02	4.149E-02	2.121E-01	
1.585E+02	4.171E-02	1.683E-01	
1.259E+02	4.191E-02	1.334E-01	
1.000E+02	4.210E-02	1.058E-01	
7.943E+01	4.235E-02	8.416E-02	
6.310E+01	4.253E-02	6.670E-02	
5.200E+01	4.263E-02	5.486E-02	
3.981E+01	4.279E-02	4.187E-02	
3.162E+01	4.289E-02	3.321E-02	
2.512E+01	4.298E-02	2.628E-02	
1.995E+01	4.306E-02	2.082E-02	
1.585E+01	4.313E-02	1.647E-02	
1.259E+01	4.316E-02	1.303E-02	
1.000E+01	4.323E-02	1.036E-02	
7.943E+00	4.324E-02	8.159E-03	
6.310E+00	4.325E-02	6.372E-03	
5.012E+00	4.329E-02	5.022E-03	
3.981E+00	4.330E-02	3.882E-03	
3.162E+00	4.338E-02	3.058E-03	
2.512E+00	4.341E-02	2.230E-03	
1.995E+00	4.346E-02	1.694E-03	
1.585E+00	4.349E-02	1.206E-03	
1.259E+00	4.349E-02	7.762E-04	
1.000E+00	4.360E-02	4.412E-04	
7.943E-01	4.365E-02	1.130E-04	
6.310E-01	4.372E-02	-1.544E-04	
5.012E-01	4.391E-02	-2.847E-04	
3.981E-01	4.398E-02	-4.978E-04	
3.162E-01	4.410E-02	-7.489E-04	
2.512E-01	4.413E-02	-1.110E-03	
1.995E-01	4.443E-02	-1.330E-03	
1.585E-01	4.454E-02	-1.587E-03	
1.259E-01	4.480E-02	-1.843E-03	
1.000E-01	4.510E-02	-2.138E-03	
7.943E-02	4.528E-02	-2.379E-03	
6.310E-02	4.551E-02	-2.781E-03	
5.012E-02	4.585E-02	-3.330E-03	
3.981E-02	4.619E-02	-3.728E-03	
3.162E-02	4.642E-02	-4.326E-03	
2.512E-02	4.704E-02	-4.957E-03	
1.995E-02	4.762E-02	-5.801E-03	
1.585E-02	4.822E-02	-6.798E-03	
1.259E-02	4.902E-02	-7.627E-03	
1.000E-02	5.013E-02	-8.716E-03	
