freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.981E-02	1.069E+00	
7.943E+02	4.996E-02	8.485E-01	
6.310E+02	5.009E-02	6.738E-01	
5.012E+02	5.027E-02	5.350E-01	
3.981E+02	5.043E-02	4.247E-01	
3.162E+02	5.059E-02	3.372E-01	
2.512E+02	5.076E-02	2.676E-01	
1.995E+02	5.094E-02	2.124E-01	
1.585E+02	5.111E-02	1.685E-01	
1.259E+02	5.124E-02	1.337E-01	
1.000E+02	5.142E-02	1.061E-01	
7.943E+01	5.164E-02	8.446E-02	
6.310E+01	5.177E-02	6.702E-02	
5.200E+01	5.182E-02	5.514E-02	
3.981E+01	5.191E-02	4.212E-02	
3.162E+01	5.201E-02	3.340E-02	
2.512E+01	5.209E-02	2.648E-02	
1.995E+01	5.209E-02	2.099E-02	
1.585E+01	5.219E-02	1.663E-02	
1.259E+01	5.218E-02	1.314E-02	
1.000E+01	5.224E-02	1.042E-02	
7.943E+00	5.227E-02	8.205E-03	
6.310E+00	5.234E-02	6.410E-03	
5.012E+00	5.231E-02	5.013E-03	
3.981E+00	5.240E-02	3.944E-03	
3.162E+00	5.240E-02	3.065E-03	
2.512E+00	5.245E-02	2.306E-03	
1.995E+00	5.242E-02	1.678E-03	
1.585E+00	5.243E-02	1.200E-03	
1.259E+00	5.250E-02	8.206E-04	
1.000E+00	5.262E-02	3.722E-04	
7.943E-01	5.261E-02	1.991E-04	
6.310E-01	5.278E-02	-2.105E-04	
5.012E-01	5.289E-02	-2.695E-04	
3.981E-01	5.307E-02	-5.739E-04	
3.162E-01	5.326E-02	-7.617E-04	
2.512E-01	5.340E-02	-1.062E-03	
1.995E-01	5.340E-02	-1.306E-03	
1.585E-01	5.369E-02	-1.570E-03	
1.259E-01	5.393E-02	-1.756E-03	
1.000E-01	5.409E-02	-2.134E-03	
7.943E-02	5.436E-02	-2.383E-03	
6.310E-02	5.460E-02	-2.821E-03	
5.012E-02	5.496E-02	-3.314E-03	
3.981E-02	5.526E-02	-3.725E-03	
3.162E-02	5.562E-02	-4.411E-03	
2.512E-02	5.616E-02	-4.994E-03	
1.995E-02	5.689E-02	-5.813E-03	
1.585E-02	5.753E-02	-6.747E-03	
1.259E-02	5.838E-02	-7.548E-03	
1.000E-02	5.956E-02	-8.443E-03	
