freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.006E-02	1.069E+00	
7.943E+02	4.025E-02	8.483E-01	
6.310E+02	4.042E-02	6.736E-01	
5.012E+02	4.067E-02	5.347E-01	
3.981E+02	4.088E-02	4.244E-01	
3.162E+02	4.112E-02	3.369E-01	
2.512E+02	4.135E-02	2.673E-01	
1.995E+02	4.158E-02	2.120E-01	
1.585E+02	4.180E-02	1.681E-01	
1.259E+02	4.205E-02	1.333E-01	
1.000E+02	4.225E-02	1.056E-01	
7.943E+01	4.255E-02	8.399E-02	
6.310E+01	4.274E-02	6.650E-02	
5.200E+01	4.288E-02	5.468E-02	
3.981E+01	4.307E-02	4.170E-02	
3.162E+01	4.324E-02	3.300E-02	
2.512E+01	4.336E-02	2.608E-02	
1.995E+01	4.349E-02	2.059E-02	
1.585E+01	4.354E-02	1.633E-02	
1.259E+01	4.366E-02	1.287E-02	
1.000E+01	4.371E-02	1.017E-02	
7.943E+00	4.372E-02	7.964E-03	
6.310E+00	4.381E-02	6.302E-03	
5.012E+00	4.387E-02	4.870E-03	
3.981E+00	4.389E-02	3.838E-03	
3.162E+00	4.389E-02	2.850E-03	
2.512E+00	4.394E-02	2.156E-03	
1.995E+00	4.404E-02	1.644E-03	
1.585E+00	4.410E-02	1.162E-03	
1.259E+00	4.412E-02	6.692E-04	
1.000E+00	4.417E-02	3.542E-04	
7.943E-01	4.425E-02	-2.624E-05	
6.310E-01	4.428E-02	-2.093E-04	
5.012E-01	4.440E-02	-3.249E-04	
3.981E-01	4.453E-02	-5.700E-04	
3.162E-01	4.464E-02	-8.611E-04	
2.512E-01	4.481E-02	-1.108E-03	
1.995E-01	4.494E-02	-1.431E-03	
1.585E-01	4.519E-02	-1.696E-03	
1.259E-01	4.543E-02	-1.998E-03	
1.000E-01	4.567E-02	-2.240E-03	
7.943E-02	4.581E-02	-2.608E-03	
6.310E-02	4.612E-02	-3.111E-03	
5.012E-02	4.650E-02	-3.566E-03	
3.981E-02	4.674E-02	-4.060E-03	
3.162E-02	4.722E-02	-4.835E-03	
2.512E-02	4.764E-02	-5.469E-03	
1.995E-02	4.838E-02	-6.544E-03	
1.585E-02	4.888E-02	-7.610E-03	
1.259E-02	4.975E-02	-8.678E-03	
1.000E-02	5.109E-02	-1.010E-02	
