time /s	I /mA	E /V
0.200	-418.283	3.943
0.400	-419.216	3.945
0.600	-419.299	3.945
0.800	-419.326	3.945
1.000	-419.343	3.945
1.200	-419.348	3.945
1.400	-419.366	3.945
1.600	-419.369	3.945
1.800	-419.384	3.944
2.000	-419.391	3.944
2.200	-419.378	3.944
2.400	-419.397	3.944
2.600	-419.396	3.944
2.800	-419.408	3.944
3.000	-419.395	3.944
3.200	-419.396	3.944
3.400	-419.410	3.944
3.600	-419.397	3.944
3.800	-419.414	3.944
4.000	-419.412	3.944
4.200	-419.399	3.944
4.400	-419.405	3.944
4.600	-419.406	3.943
4.800	-419.423	3.943
5.000	-419.411	3.943
5.200	-419.411	3.943
5.400	-419.413	3.943
5.600	-419.406	3.943
5.800	-419.411	3.943
6.000	-419.423	3.943
6.200	-419.424	3.943
6.400	-419.427	3.943
6.600	-419.431	3.943
6.800	-419.428	3.943
7.000	-419.418	3.943
7.200	-419.427	3.943
7.400	-419.423	3.943
7.600	-419.421	3.943
7.800	-419.431	3.943
8.000	-419.430	3.942
8.200	-419.413	3.942
8.400	-419.423	3.942
8.600	-419.422	3.942
8.800	-419.416	3.942
9.000	-419.417	3.942
9.200	-419.440	3.942
9.400	-419.414	3.942
9.600	-419.419	3.942
9.800	-419.405	3.942
10.000	-419.410	3.942
10.200	-419.410	3.942
10.400	-419.427	3.942
10.600	-419.417	3.942
10.800	-419.425	3.942
11.000	-419.418	3.942
11.200	-419.449	3.942
11.400	-419.429	3.942
11.600	-419.440	3.942
11.800	-419.442	3.942
12.000	-419.413	3.942
12.200	-419.442	3.942
12.400	-419.433	3.942
12.600	-419.425	3.942
12.800	-419.411	3.941
13.000	-419.432	3.941
13.200	-419.428	3.941
13.400	-419.424	3.941
13.600	-419.433	3.941
13.800	-419.444	3.941
14.000	-419.434	3.941
14.200	-419.450	3.941
14.400	-419.429	3.941
14.600	-419.445	3.941
14.800	-419.439	3.941
15.000	-419.437	3.941
15.200	-419.425	3.941
15.400	-419.444	3.941
15.600	-419.432	3.941
15.800	-419.422	3.941
16.000	-419.419	3.941
16.200	-419.448	3.941
16.400	-419.453	3.941
16.600	-419.445	3.941
16.800	-419.425	3.941
17.000	-419.444	3.941
17.200	-419.446	3.941
17.400	-419.429	3.941
17.600	-419.423	3.941
17.800	-419.437	3.941
18.000	-419.419	3.940
18.200	-419.435	3.940
18.400	-419.449	3.940
18.600	-419.428	3.940
18.800	-419.431	3.940
19.000	-419.456	3.940
19.200	-419.441	3.940
19.400	-419.439	3.940
19.600	-419.403	3.940
19.800	-419.423	3.940
20.000	-419.414	3.940
20.200	-419.422	3.940
20.400	-419.411	3.940
20.600	-419.428	3.940
20.800	-419.421	3.940
21.000	-419.436	3.940
21.200	-419.431	3.940
21.400	-419.416	3.940
21.600	-419.421	3.940
21.800	-419.420	3.940
22.000	-419.431	3.940
22.200	-419.434	3.940
22.400	-419.442	3.940
22.600	-419.415	3.940
22.800	-419.412	3.940
23.000	-419.446	3.940
23.200	-419.414	3.940
23.400	-419.429	3.940
23.600	-419.413	3.940
23.800	-419.433	3.940
24.000	-419.428	3.940
24.200	-419.436	3.940
24.400	-419.431	3.940
24.600	-419.423	3.940
24.800	-419.435	3.939
25.000	-419.431	3.939
25.200	-419.435	3.939
25.400	-419.433	3.939
25.600	-419.431	3.939
25.800	-419.429	3.939
26.000	-419.419	3.939
26.200	-419.416	3.939
26.400	-419.417	3.939
26.600	-419.434	3.939
26.800	-419.413	3.939
27.000	-419.412	3.939
27.200	-419.417	3.939
27.400	-419.431	3.939
27.600	-419.415	3.939
27.800	-419.449	3.939
28.000	-419.423	3.939
28.200	-419.431	3.939
28.400	-419.428	3.939
28.600	-419.424	3.939
28.800	-419.431	3.939
29.000	-419.431	3.939
29.200	-419.424	3.939
29.400	-419.444	3.939
29.600	-419.449	3.939
29.800	-419.415	3.939
30.000	-419.429	3.939
30.200	-419.422	3.939
30.400	-419.427	3.939
30.600	-419.431	3.939
30.800	-419.428	3.939
31.000	-419.425	3.939
31.200	-419.445	3.939
31.400	-419.424	3.939
31.600	-419.433	3.939
31.800	-419.428	3.939
32.000	-419.435	3.939
32.200	-419.425	3.939
32.400	-419.428	3.939
32.600	-419.413	3.938
32.800	-419.434	3.938
33.000	-419.430	3.938
33.200	-419.430	3.938
33.400	-419.427	3.938
33.600	-419.427	3.938
33.800	-419.421	3.938
34.000	-419.421	3.938
34.200	-419.431	3.938
34.400	-419.417	3.938
34.600	-419.422	3.938
34.800	-419.427	3.938
35.000	-419.436	3.938
35.200	-419.423	3.938
35.400	-419.426	3.938
35.600	-419.429	3.938
35.800	-419.427	3.938
36.000	-419.445	3.938
36.200	-419.419	3.938
36.400	-419.415	3.938
36.600	-419.421	3.938
36.800	-419.431	3.938
37.000	-419.426	3.938
37.200	-419.430	3.938
37.400	-419.436	3.938
37.600	-419.424	3.938
37.800	-419.437	3.938
38.000	-419.421	3.938
38.200	-419.429	3.938
38.400	-419.436	3.938
38.600	-419.437	3.938
38.800	-419.433	3.938
39.000	-419.422	3.938
39.200	-419.425	3.938
39.400	-419.427	3.938
39.600	-419.434	3.938
39.800	-419.433	3.938
40.000	-419.432	3.938
40.200	-419.435	3.938
40.400	-419.424	3.938
40.600	-419.422	3.938
40.800	-419.440	3.938
41.000	-419.436	3.937
41.200	-419.432	3.938
41.400	-419.440	3.937
41.600	-419.424	3.937
41.800	-419.456	3.937
42.000	-419.427	3.937
42.200	-419.450	3.937
42.400	-419.469	3.937
42.600	-419.441	3.937
42.800	-419.434	3.937
43.000	-419.422	3.937
43.200	-419.429	3.937
43.400	-419.425	3.937
43.600	-419.408	3.937
43.800	-419.435	3.937
44.000	-419.430	3.937
44.200	-419.422	3.937
44.400	-419.425	3.937
44.600	-419.432	3.937
44.800	-419.427	3.937
45.000	-419.428	3.937
45.200	-419.434	3.937
45.400	-419.429	3.937
45.600	-419.424	3.937
45.800	-419.422	3.937
46.000	-419.420	3.937
46.200	-419.416	3.937
46.400	-419.429	3.937
46.600	-419.416	3.937
