time /s	I /mA	E /V
0.200	-418.655	3.496
0.400	-419.264	3.497
0.600	-419.312	3.497
0.800	-419.345	3.497
1.000	-419.346	3.497
1.200	-419.351	3.497
1.400	-419.368	3.497
1.600	-419.371	3.497
1.800	-419.375	3.497
2.000	-419.372	3.497
2.200	-419.376	3.497
2.400	-419.379	3.497
2.600	-419.381	3.496
2.800	-419.375	3.496
3.000	-419.378	3.496
3.200	-419.396	3.496
3.400	-419.384	3.496
3.600	-419.387	3.496
3.800	-419.382	3.496
4.000	-419.389	3.496
4.200	-419.400	3.496
4.400	-419.391	3.496
4.600	-419.398	3.496
4.800	-419.393	3.496
5.000	-419.404	3.496
5.200	-419.421	3.495
5.400	-419.409	3.495
5.600	-419.406	3.495
5.800	-419.400	3.495
6.000	-419.400	3.495
6.200	-419.413	3.495
6.400	-419.395	3.495
6.600	-419.392	3.495
6.800	-419.407	3.495
7.000	-419.389	3.495
7.200	-419.393	3.495
7.400	-419.379	3.495
7.600	-419.390	3.495
7.800	-419.409	3.495
8.000	-419.414	3.495
8.200	-419.390	3.495
8.400	-419.407	3.494
8.600	-419.402	3.494
8.800	-419.402	3.494
9.000	-419.400	3.494
9.200	-419.395	3.494
9.400	-419.385	3.494
9.600	-419.389	3.494
9.800	-419.397	3.494
10.000	-419.391	3.494
10.200	-419.392	3.494
10.400	-419.393	3.494
10.600	-419.384	3.494
10.800	-419.395	3.494
11.000	-419.387	3.494
11.200	-419.393	3.494
11.400	-419.380	3.494
11.600	-419.396	3.494
11.800	-419.403	3.494
12.000	-419.372	3.494
12.200	-419.384	3.494
12.400	-419.386	3.494
12.600	-419.378	3.493
12.800	-419.397	3.493
13.000	-419.396	3.493
13.200	-419.381	3.493
13.400	-419.388	3.493
13.600	-419.394	3.493
13.800	-419.393	3.493
14.000	-419.400	3.493
14.200	-419.414	3.493
14.400	-419.406	3.493
14.600	-419.416	3.493
14.800	-419.398	3.493
15.000	-419.417	3.493
15.200	-419.397	3.493
15.400	-419.398	3.493
15.600	-419.400	3.493
15.800	-419.398	3.493
16.000	-419.407	3.493
16.200	-419.414	3.493
16.400	-419.404	3.493
16.600	-419.406	3.493
16.800	-419.397	3.493
17.000	-419.408	3.492
17.200	-419.410	3.492
17.400	-419.400	3.492
17.600	-419.415	3.492
17.800	-419.398	3.492
18.000	-419.409	3.492
18.200	-419.386	3.492
18.400	-419.398	3.492
18.600	-419.401	3.492
18.800	-419.380	3.492
19.000	-419.403	3.492
19.200	-419.382	3.492
19.400	-419.406	3.492
19.600	-419.395	3.492
19.800	-419.386	3.492
20.000	-419.393	3.492
20.200	-419.386	3.492
20.400	-419.391	3.492
20.600	-419.398	3.492
20.800	-419.392	3.492
21.000	-419.381	3.492
21.200	-419.395	3.492
21.400	-419.387	3.492
21.600	-419.391	3.492
21.800	-419.397	3.492
22.000	-419.389	3.491
22.200	-419.398	3.491
22.400	-419.384	3.491
22.600	-419.397	3.491
22.800	-419.396	3.491
23.000	-419.396	3.491
23.200	-419.399	3.491
23.400	-419.395	3.491
23.600	-419.410	3.491
23.800	-419.406	3.491
24.000	-419.388	3.491
24.200	-419.390	3.491
24.400	-419.390	3.491
24.600	-419.389	3.491
24.800	-419.394	3.491
25.000	-419.392	3.491
25.200	-419.390	3.491
25.400	-419.395	3.491
25.600	-419.402	3.491
25.800	-419.401	3.491
26.000	-419.412	3.491
26.200	-419.399	3.491
26.400	-419.410	3.491
26.600	-419.412	3.491
26.800	-419.395	3.491
27.000	-419.417	3.491
27.200	-419.401	3.491
27.400	-419.401	3.491
27.600	-419.401	3.491
27.800	-419.389	3.491
28.000	-419.403	3.490
28.200	-419.406	3.490
28.400	-419.412	3.490
28.600	-419.412	3.490
28.800	-419.391	3.490
29.000	-419.399	3.490
29.200	-419.390	3.490
29.400	-419.395	3.490
29.600	-419.375	3.490
29.800	-419.399	3.490
30.000	-419.405	3.490
30.200	-419.378	3.490
