time /s	I /mA	E /V
0.200	-418.906	3.420
0.400	-419.396	3.419
0.600	-419.431	3.419
0.800	-419.451	3.419
1.000	-419.467	3.419
1.200	-419.461	3.419
1.400	-419.468	3.419
1.600	-419.474	3.419
1.800	-419.479	3.418
2.000	-419.474	3.418
2.200	-419.473	3.418
2.400	-419.471	3.418
2.600	-419.493	3.418
2.800	-419.473	3.418
3.000	-419.461	3.418
3.200	-419.483	3.418
3.400	-419.480	3.418
3.600	-419.490	3.418
3.800	-419.495	3.418
4.000	-419.497	3.418
4.200	-419.496	3.418
4.400	-419.499	3.417
4.600	-419.497	3.417
4.800	-419.479	3.417
5.000	-419.482	3.417
5.200	-419.479	3.417
5.400	-419.485	3.417
5.600	-419.489	3.417
5.800	-419.503	3.417
6.000	-419.503	3.417
6.200	-419.505	3.417
6.400	-419.500	3.417
6.600	-419.492	3.417
6.800	-419.491	3.417
7.000	-419.478	3.417
7.200	-419.492	3.417
7.400	-419.485	3.417
7.600	-419.485	3.417
7.800	-419.490	3.417
8.000	-419.483	3.417
8.200	-419.489	3.416
8.400	-419.493	3.416
8.600	-419.502	3.416
8.800	-419.484	3.416
9.000	-419.486	3.416
9.200	-419.494	3.416
9.400	-419.484	3.416
9.600	-419.488	3.416
9.800	-419.484	3.416
10.000	-419.489	3.416
10.200	-419.473	3.416
10.400	-419.498	3.416
10.600	-419.504	3.416
10.800	-419.472	3.416
11.000	-419.498	3.416
11.200	-419.493	3.416
11.400	-419.489	3.416
11.600	-419.472	3.416
11.800	-419.505	3.416
12.000	-419.484	3.416
12.200	-419.511	3.416
12.400	-419.518	3.416
12.600	-419.505	3.415
12.800	-419.513	3.415
13.000	-419.514	3.415
13.200	-419.530	3.415
13.400	-419.506	3.415
13.600	-419.505	3.415
13.800	-419.506	3.415
14.000	-419.489	3.415
14.200	-419.488	3.415
14.400	-419.499	3.415
14.600	-419.504	3.415
14.800	-419.509	3.415
15.000	-419.511	3.415
15.200	-419.490	3.415
15.400	-419.483	3.415
15.600	-419.487	3.415
15.800	-419.488	3.415
16.000	-419.494	3.415
16.200	-419.499	3.415
16.400	-419.490	3.415
16.600	-419.480	3.415
16.800	-419.494	3.415
17.000	-419.506	3.415
17.200	-419.494	3.415
17.400	-419.500	3.415
17.600	-419.517	3.415
17.800	-419.502	3.414
18.000	-419.512	3.414
18.200	-419.505	3.414
18.400	-419.502	3.414
18.600	-419.513	3.414
18.800	-419.495	3.414
19.000	-419.505	3.414
19.200	-419.514	3.414
19.400	-419.509	3.414
19.600	-419.501	3.414
19.800	-419.505	3.414
20.000	-419.520	3.414
20.200	-419.502	3.414
20.400	-419.498	3.414
20.600	-419.505	3.414
20.800	-419.506	3.414
21.000	-419.524	3.414
21.200	-419.511	3.414
21.400	-419.500	3.414
21.600	-419.497	3.414
21.800	-419.514	3.414
22.000	-419.484	3.414
22.200	-419.495	3.414
22.400	-419.481	3.414
22.600	-419.490	3.414
22.800	-419.489	3.414
23.000	-419.511	3.414
23.200	-419.490	3.414
23.400	-419.482	3.414
23.600	-419.498	3.414
23.800	-419.494	3.414
24.000	-419.499	3.414
24.200	-419.482	3.413
24.400	-419.493	3.413
24.600	-419.506	3.413
24.800	-419.487	3.413
25.000	-419.507	3.413
25.200	-419.490	3.413
25.400	-419.488	3.413
25.600	-419.493	3.413
25.800	-419.497	3.413
26.000	-419.493	3.413
26.200	-419.497	3.413
26.400	-419.489	3.413
26.600	-419.491	3.413
26.800	-419.497	3.413
27.000	-419.504	3.413
27.200	-419.497	3.413
27.400	-419.491	3.413
27.600	-419.505	3.413
27.800	-419.506	3.413
28.000	-419.526	3.413
28.200	-419.501	3.413
28.400	-419.509	3.413
28.600	-419.502	3.413
28.800	-419.505	3.413
29.000	-419.486	3.413
29.200	-419.483	3.413
29.400	-419.500	3.413
29.600	-419.501	3.413
29.800	-419.488	3.413
30.000	-419.492	3.413
30.200	-419.501	3.413
30.400	-419.493	3.413
30.600	-419.494	3.413
30.800	-419.494	3.413
31.000	-419.496	3.413
31.200	-419.489	3.413
31.400	-419.496	3.413
31.600	-419.500	3.412
31.800	-419.496	3.412
32.000	-419.497	3.412
32.200	-419.487	3.412
32.400	-419.481	3.412
32.600	-419.509	3.412
32.800	-419.507	3.412
33.000	-419.519	3.412
33.200	-419.504	3.412
33.400	-419.500	3.412
33.600	-419.517	3.412
33.800	-419.516	3.412
34.000	-419.493	3.412
34.200	-419.509	3.412
34.400	-419.511	3.412
34.600	-419.491	3.412
34.800	-419.503	3.412
35.000	-419.499	3.412
35.200	-419.504	3.412
35.400	-419.494	3.412
35.600	-419.505	3.412
35.800	-419.505	3.412
36.000	-419.512	3.412
36.200	-419.510	3.412
36.400	-419.508	3.412
36.600	-419.491	3.412
36.800	-419.493	3.412
37.000	-419.493	3.412
37.200	-419.490	3.412
37.400	-419.497	3.412
37.600	-419.505	3.412
37.800	-419.508	3.412
38.000	-419.481	3.412
